fecha_aplicacion,jurisdiccion_aplicacion_id,aplicadas,csumaplicadas,labeldistrito
2021-02-02,78,1,2295,Santa Cruz
2021-02-02,82,152,22602,Santa Fe
2021-02-02,86,31,5953,S del Estero
2021-02-02,90,159,10584,Tucuman
2021-02-02,94,1,1384,T del Fuego
2021-02-03,2,2366,29467,CABA
2021-02-03,6,1548,118571,Buenos Aires
2021-02-03,10,7,2581,Catamarca
2021-02-03,14,679,23801,Cordoba
2021-02-03,18,336,7486,Corrientes
2021-02-03,22,43,8155,Chaco
2021-02-03,26,139,3262,Chubut
2021-02-03,30,100,10082,Entre Rios
2021-02-03,38,610,5130,Jujuy
2021-02-03,42,790,3409,La Pampa
2021-02-03,46,175,3058,La Rioja
2021-02-03,50,67,11503,Mendoza
2021-02-03,54,9,5566,Misiones
2021-02-03,58,1424,5095,Neuquen
2021-02-03,62,521,5059,Rio Negro
2021-02-03,66,772,9182,Salta
2021-02-03,70,261,4763,San Juan
2021-02-03,74,10,3077,San Luis
2021-02-03,78,76,2371,Santa Cruz
2021-02-03,82,121,22723,Santa Fe
2021-02-03,86,109,6062,S del Estero
2021-02-03,90,232,10816,Tucuman
2021-02-03,94,30,1414,T del Fuego
2021-02-04,2,1819,31286,CABA
2021-02-04,6,1356,119927,Buenos Aires
2021-02-04,10,352,2933,Catamarca
2021-02-04,14,1156,24957,Cordoba
2021-02-04,18,260,7746,Corrientes
2021-02-04,22,161,8316,Chaco
2021-02-04,26,160,3422,Chubut
2021-02-04,30,206,10288,Entre Rios
2021-02-04,34,1,3477,Formosa
2021-02-04,42,301,3710,La Pampa
2021-02-04,46,197,3255,La Rioja
2021-02-04,50,243,11746,Mendoza
2021-02-04,54,3,5569,Misiones
2021-02-04,58,1265,6360,Neuquen
2021-02-04,62,363,5422,Rio Negro
2021-02-04,66,546,9728,Salta
2021-02-04,70,325,5088,San Juan
2021-02-04,74,555,3632,San Luis
2021-02-04,78,381,2752,Santa Cruz
2021-02-04,82,244,22967,Santa Fe
2021-02-04,86,154,6216,S del Estero
2021-02-04,90,219,11035,Tucuman
2021-02-04,94,64,1478,T del Fuego
2021-02-05,2,2864,34150,CABA
2021-02-05,6,1755,121682,Buenos Aires
2021-02-05,10,416,3349,Catamarca
2021-02-05,14,1329,26286,Cordoba
2021-02-05,18,172,7918,Corrientes
2021-02-05,22,78,8394,Chaco
2021-02-05,26,209,3631,Chubut
2021-02-05,30,497,10785,Entre Rios
2021-02-05,42,154,3864,La Pampa
2021-02-05,46,525,3780,La Rioja
2021-02-05,50,490,12236,Mendoza
2021-02-05,54,288,5857,Misiones
2021-02-05,58,1091,7451,Neuquen
2021-02-05,62,542,5964,Rio Negro
2021-02-05,66,235,9963,Salta
2021-02-05,70,377,5465,San Juan
