fecha,vacunadostot100,iddistrito,distrito
2021-09-26,70,15,Neuquén
2021-09-26,67,16,Río Negro
2021-09-26,69,22,S del Estero
2021-09-26,58,17,Salta
2021-09-26,65,18,San Juan
2021-09-26,67,19,San Luis
2021-09-26,57,20,Santa Cruz
2021-09-26,68,21,Santa Fe
2021-09-26,66,23,T del Fuego
2021-09-26,61,24,Tucumán
2021-09-27,65,2,Buenos Aires
2021-09-27,76,1,CABA
2021-09-27,72,3,Catamarca
2021-09-27,61,6,Chaco
2021-09-27,60,7,Chubut
2021-09-27,66,4,Córdoba
2021-09-27,66,5,Corrientes
2021-09-27,64,8,Entre Ríos
2021-09-27,71,9,Formosa
2021-09-27,66,10,Jujuy
2021-09-27,69,11,La Pampa
2021-09-27,68,12,La Rioja
2021-09-27,63,13,Mendoza
2021-09-27,54,14,Misiones
2021-09-27,70,15,Neuquén
2021-09-27,67,16,Río Negro
2021-09-27,69,22,S del Estero
2021-09-27,58,17,Salta
2021-09-27,65,18,San Juan
2021-09-27,67,19,San Luis
2021-09-27,57,20,Santa Cruz
2021-09-27,68,21,Santa Fe
2021-09-27,66,23,T del Fuego
2021-09-27,61,24,Tucumán
2021-10-30,76,2,Buenos Aires
2021-10-30,86,1,CABA
2021-10-30,82,3,Catamarca
2021-10-30,69,6,Chaco
2021-10-30,68,7,Chubut
2021-10-30,80,4,Córdoba
2021-10-30,79,5,Corrientes
2021-10-30,74,8,Entre Ríos
2021-10-30,81,9,Formosa
2021-10-30,75,10,Jujuy
2021-10-30,84,11,La Pampa
2021-10-30,83,12,La Rioja
2021-10-30,70,13,Mendoza
2021-10-30,62,14,Misiones
2021-10-30,84,15,Neuquén
2021-10-30,80,16,Río Negro
2021-10-30,87,22,S del Estero
2021-10-30,69,17,Salta
2021-10-30,75,18,San Juan
2021-10-30,82,19,San Luis
2021-10-30,69,20,Santa Cruz
2021-10-30,79,21,Santa Fe
2021-10-30,79,23,T del Fuego
2021-10-30,73,24,Tucumán
2021-10-31,76,2,Buenos Aires
2021-10-31,87,1,CABA
2021-10-31,82,3,Catamarca
2021-10-31,69,6,Chaco
2021-10-31,68,7,Chubut
2021-10-31,80,4,Córdoba
2021-10-31,79,5,Corrientes
2021-10-31,74,8,Entre Ríos
2021-10-31,82,9,Formosa
2021-10-31,75,10,Jujuy
2021-10-31,85,11,La Pampa
